BW3_A_WNT_DATE_TIME_Rest,"* Акция начнется в четверг 13-го апреля в 17:00 по ЦЛВ. Закончится во вторник 18-го апреля в 10:00."
BW3_WNT_HotFix_2,"Мы взяли немного звездной пыли для защиты от проклятий, насланных злыми силами на Страну ведьм. Держите волшебные палочки наготове и получайте удовольствие от этого обновления!"
BW3_WNT_HotFix_3,"Была бы палочка, а способ найдется! Да уж, друзья, над этим обновлением мы немало колдовали... Наведите шороху!"
BW3_WNT_HotFix_4,"Абра-швабра-кадабра…
Трах-горох-тибидох!

Вот так вот. После этого нашего заклинания последнее обновление станет еще волшебнее! По метлам! До встречи в Стране ведьм..."
BW3_WNT_SL3,"Ур-ра! С волшебными новинками в ОБНОВЛЕНИИ, все станет просто, как съесть кусочек торта! (тот, который еще не приговорил Уильмур, конечно же) Вы теперь можете получить БОЛЬШЕ ОЧКОВ в Стране Ведьм.

Вам даже доступны новые заклинания, например, возможность сохранять игру в учетной записи Google!

Подождите, пока не попадете в Нагорье Хай-кей: там вас ждут 20 НОВЫХ УРОВНЕЙ, наполненных весельем..."
BW3_WNT_StValantines,"Неужели, я ощущаю любовь? Да ну, нет! Злодейские коты не могут любить... молоко не в счет! Вот его я о-о-очень люблю (и коробки, конечно!) 

Знаете, ведь именно в это время года все мурчат и обнимаются, а я просто ищу колдующих фей, чтобы их похитить!
 
Да-да. Это я порчу все веселье. Но я это люблю, а сейчас же время любви, ведь так?
 
Уильмур"
BW3_WNT_ZHL10,"Трах-тибидох!

Вы можете произнести какое угодно заклинание, но помните, что Королева фей полностью в моей власти!

В ОЧЕРЕДНОМ ОБНОВЛЕНИИ я продолжу расставлять хитрые ловушки там и сям, так что готовьтесь к НОВЫМ УРОВНЯМ и НОВЫМ ИСПЫТАНИЯМ. Повышайте свое мастерство, а я пока вздремну...

Уильмур"
BW3_WNT_ZHL14,"ОЧЕРЕДНОЕ ОБНОВЛЕНИЕ, несомненно, привнесет в игру праздничную атмосферу и добавит снежинок. Фу ты! Меня же никто об этом не спрашивал. Теперь вам будет легче найти меня по следам на снегу!

Ах да! Я же еще должен рассказать об ОГНЕННОМ ЗАКЛИНАНИИ — новой функции, благодаря которой игроки, проходящие уровни без потери жизней, получают дополнительные ходы. Стоп! Без потери жизней? Неужели кто-то верит, что это возможно? Не смяушите меня!

Уильмур"
BW3_WNT_ZHL15,"Вы вложили в это ОБНОВЛЕНИЕ много своего волшебства!

Благодарим ВАС за 1-ю годовщину магии. А чтобы привнести в ее празднование на этой неделе еще больше волшебства, мы добавили НОВЫЕ УРОВНИ, ЧУДО-УГОЩЕНИЯ и множество ЗАВОРАЖИВАЮЩИХ ФУНКЦИЙ!
Что вы говорите?! Некоторое время не играли? Тогда пора стряхнуть пыль со своей волшебной палочки!

Форсаж!"
BW3_WNT_ZHL16,"В феврале выходит завораживающее ОБНОВЛЕНИЕ!

Мы сотворили новое заклинание, и теперь наши пернатые друзья на тех уровнях, где нужно ОТПУСТИТЬ СОВУШЕК, станут заметнее! Каждое из этих созданий просто прелестно. Взгляните на них и сообщите нам, что вы об этом думаете. 

Не играли какое-то время? Тогда самое время стряхнуть пыль с волшебной палочки и весело провести время, взрывая шарики!"
BW3_WNT_ZHL17,"Наше ОЧЕРЕДНОЕ ОБНОВЛЕНИЕ вас просто зачарует! Готовы к волшебному испытанию?

• Если пройдете 1-й уровень нового эпизода с ОДНОЙ попытки, то заработаете ЗОЛОТУЮ БУЛАВКУ как свидетельство того, что вы — лучший ученик класса в школе ведьм.
• Контент ЧУДО-КАНАЛА постоянно обновляется! Его можно найти в разделе «НАСТРОЙКИ». 

Волшебные палочки на изготовку — и вперед!"
BW3_WNT_ZHL18,"Наше ОЧЕРЕДНОЕ ОБНОВЛЕНИЕ в 1000 раз круче всех остальных...
 
В Стране ведьм открылся волшебный портал. Легенда гласит, что он может переносить на любые расстояния. На всех уровнях, начиная с 22-го, есть возможность пройти через волшебный портал прямо на уровень 1000. Может ли быть что-то более завораживающее?

Продолжайте взрывать шарики — и совсем скоро окажетесь в волшебном портале..."
BW3_WNT_ZHL19,"Вышло ОЧЕРЕДНОЕ ОБНОВЛЕНИЕ!
 
Все правильно! Готовьте палочки и освежите в памяти заклинания, поскольку грядет новый КУБОК ВЕДЬМ! Начинайте практиковаться в колдовстве, как только у вас появится шанс стать лучшей ведьмой!

Не играли какое-то время? Тогда сейчас самое время продолжить взрывать шарики..."
BW3_WNT_ZHL3,"Некоторые ошибки исчезли прямо по волшебству! (...В отличие от фей: они те еще доставучки, и никуда не пропадают... пока я их не похищу! Хе-хе!)

Как бы там ни было, уверен, вам не хватит сноровки пройди до 320 УРОВНЯ (не говоря уже о том, чтобы получить ЗОЛОТЫЕ КАРТОЧКИ в выборе главы).

Минуточку... В доме Стеллы вечеринка, а меня не позвали? И что задумали эти 3 привидения? Кажется, запахло жареным... и это вовсе не кошачья еда!

#РежимДетективаВКЛ

Уильмур"
BW3_WNT_ZHL4,"Я люблю спать, похищать фей и дразнить Стеллу. 

Но больше всего я хочу понравиться вам... В смысле, чтобы вы нажали кнопку «Нравится» на моей страничке Facebook. Там есть потрясающие записи и удивительные истории... Так что можете лайкнуть меня прямо с главного экрана игры, р-р-р!

О, кстати о птичках... теперь вы можете гнаться за мной аж до 360-го уровня!

Мрмя-ха-ха!

— Уильмур"
BW3_WNT_ZHL4.10,"Мы наколдовали ОБНОВЛЕНИЕ, полное веселья!

- НОВАЯ ФУНКЦИЯ: собирайте МЕДАЛИ на всех уровнях игры! Чем дольше вы играете, тем полнее будет ваша коллекция.
- НОВЫЕ ЗАКЛИНАНИЯ: в игру добавлено два новых заклинания! Получите удовольствие от сверхмощного РАДУЖНОГО НАТИСКА и точной ЗВЕЗДЫ-ЗАРЯДА.
- Мы также увеличили размер области интерфейса, связанной с заклинаниями, чтобы вам было легче колдовать.
 
Еще мы наворожили несколько НОВЫХ ЭПИЗОДОВ, чтобы вам было где получать медали!

Вперед!"
BW3_WNT_ZHL4.11,"Началось ИСПЫТАНИЕ «ЗВЕЗДНЫЙ СВЕТ»! В этой серии новых волшебных мероприятий тебе предстоит посостязаться с другими ведьмами и ведьмаками в умении собирать звезды. Сможешь возглавить свою группу?
 
Для сбора звезд понадобятся уровни, которые станут полем сражения, поэтому мы также добавляем для вас НОВЫЕ ЭПИЗОДЫ.
 
Все на слет ведьм: целься метко, стреляй мощно!"
BW3_WNT_ZHL4.12_android,"В Страну ведьм пришел Хэллоуин! Давайте отпразднуем его сладкими вкусняшками!
- ЛУННЫЙ ЛОВЕЦ: 31 октября начинайте соревноваться с друзьями-ведьмаками в 3-раундовом событии и выиграйте отличные призы!
- И еще одна сладость (или шалость) — НОВЫЕ ЭПИЗОДЫ!
Готовьтесь к увлекательной игре!"
BW3_WNT_ZHL4.12_ios,"В Страну ведьм пришел Хэллоуин! Давайте отпразднуем его сладкими вкусняшками! 
- ЛУННЫЙ ЛОВЕЦ: 31 октября начинайте соревноваться с друзьями-ведьмаками в 3-раундовом событии и выиграйте отличные призы!
- КОЛДОВСКАЯ БИТВА В РР: новая жуткая затея! Уворачивайтесь и сражайтесь с Уильмуром в 3D благодаря магической силе ДОПОЛНЕННОЙ РЕАЛЬНОСТИ! Поддерживаются только определенные устройства.
- И еще одна сладость (или шалость) — НОВЫЕ ЭПИЗОДЫ!
Готовьтесь к увлекательной игре!"
BW3_WNT_ZHL4.13,"Игра Bubble Witch 3 поможет тебе справиться с грустью, наступившей после Хэллоуина.
Приходи колдовать в созданных нами НОВЫХ ЭПИЗОДАХ!

Взрывай!"
BW3_WNT_ZHL4.14,"Путешествие по Стране ведьм вместе со Стеллой стало еще волшебнее: мы добавили НОВЫЕ ЭПИЗОДЫ, чтобы вам было еще веселее!

Держите палочки наготове, ведьмочки!"
BW3_WNT_ZHL4.9,"Вышло ОЧЕРЕДНОЕ магическое ОБНОВЛЕНИЕ!
 
Мы наколдовали ОПТИМИЗАЦИЮ ПРОИЗВОДИТЕЛЬНОСТИ, благодаря чему вы сможете быстрее летать на метле по Стране ведьм, и НОВЫЕ ЭПИЗОДЫ, где проявится ваше мастерство чародея.
 
Волшебные палочки на изготовку, ведьмаки и ведьмы!"
BW3_WNT_ZHL5,"Мне тут птичка напела, что теперь вас будут ждать ЕЖЕДНЕВНЫЕ ПОДАРКИ. Опять я все пропустил.

Точнее, болтушка Мэгги. Она новенькая в городе, будет летать над Страной ведьм и помогать вам меня ловить.

Если будете играть каждый день, то она будет давать больше и больше наград... а это совсем не замурчательно... Нужно вас как-то отвлечь!

О, глядите... летающая корова!

— Уильмур"
BW3_WNT_ZHL5.0,"Скоро зимние праздники! Чтобы сделать вам приятно, мы украсили эту игру из серии Saga НОВЫМИ ЭПИЗОДАМИ.

Волшебного вам сезона — ешьте, пейте, веселитесь и зажигайте!"
BW3_WNT_ZHL5.1,"В Стране ведьм магический праздник — игра Bubble Witch 3 Saga отмечает 2-ю годовщину! В этом ЮБИЛЕЙНОМ ОБНОВЛЕНИИ внесены изменения в декорации, а также добавлены НОВЫЕ шариковзрывательные ЭПИЗОДЫ.

Спасибо, что колдуете вместе с нами в течение этих лет. Мы также приглашаем на вечеринку тех, кто некоторое время не играл!"
BW3_WNT_ZHL5.2,"Начавшийся ЗВЕЗДНЫЙ РАУНД еще больше наполнит твой день магией! Обнаружив эту неожиданную вкусняшку, пройди уровень и забери ценные награды.

Ищи сокровища в НОВЫХ ЭПИЗОДАХ, которые мы тоже наколдовали в этом обновлении!

Взрывай шарики!"
BW3_WNT_ZHL5.3,"В саге о Стелле появились НОВЫЕ ЭПИЗОДЫ!
Поднимитесь повыше в «Парящем пламени» или сверкайте в «Хрустальной пещере». Колдуйте напропалую в новых приключениях!"
BW3_WNT_ZHL5.4,"Добро пожаловать в обновление, полное новых возможностей!

- ВОЛШЕБНЫЕ ШЛЯПЫ: ищите скрытые за шариками головные уборы, которые дадут очень полезные силы! Всего есть три вида шляп, каждая из которых со своими возможностями!
- НОВЫЕ ЭПИЗОДЫ: колдуйте среди отблесков Золотых шестеренок и на сияющих землях Сиреневого света!

Итак, ведьмы, палочки наизготовку... и не провороньте волшебные шляпы!"
BW3_WNT_ZHL5.4_V2,"В ярком путешествии по Стране ведьм появились НОВЫЕ ЭПИЗОДЫ!
Колдуйте напропалую среди сияющих Золотых шестеренок и сверкайте в землях Сиреневого света.

Палочки вверх, ведьмы!"
BW3_WNT_ZHL5.5,"Неро приглашает вас в НОВЫЕ ЭПИЗОДЫ!
Незаметно проберитесь мимо любопытных котов, чтобы они не донесли о вас Моргане, а после нырните в Насмешливое море, полное волшебства и сокровищ.

Палочки вверх, ведьмы!"
BW3_WNT_ZHL5.6,"Присоединяйтесь к Стелле в ее волшебном путешествии по НОВЫМ ЭПИЗОДАМ! Прогуляйтесь по зачарованным коридорам Кошачьего семейства, откройте магическую дверь в земли Снежного неба и отыщите загадочный Храм тотема."
BW3_WNT_ZHL5.7,"Пришло время нового волшебного обновления! И у нас ВАЖНЫЕ НОВОСТИ! Началось событие «Магический ритуал»! Объединитесь с другими ведьмами и колдунами, чтобы вместе получать награды и присоединиться к Стелле в мире Драконоведа."
BW3_WNT_ZHL5.8,"Доступно новое обновление! Стелла и Неро путешествуют по новым землям, но что ждет их впереди? Они попадут в мир Тонкой силы? Или, может, свернут не туда и окажутся в Джебель-джунглях? Укажете им путь?"
BW3_WNT_ZHL5.9,"Метлы готовы? Три, два, один, ВПЕРЕД! Отправляйтесь вслед за Стеллой в дальние-дальние земли, прямиком сквозь туманы Сокрытого болота, пока не очутитесь на новых уровнях у Светящихся камней. Стелла покажет дорогу!"
BW3_WNT_ZHL6,"Шарикарно? Нет-нет-нет, просто мяу-помрачительно! 
 
Я серьезно. В очередном ОБНОВЛЕНИИ вы будете продвигаться все дальше и дальше, а я — убегать с Королевой фей все быстрее!
 
Вы не вырвете ее из моих когтей!
 
Даже когда дойдете до УРОВНЯ 420.
Даже если у вас получится найти сокровище Лейлы...
 
Я всегда буду... Ой, что это!? Солнечный зайчик! Мяяяуууу!!!
 
Уильмур"
BW3_WNT_ZHL6.0,"Приготовьтесь отправиться в ПУТЕШЕСТВИЕ со Стеллой и Неро!

Итак, закройте глаза и представьте, что вы находитесь в лесу фей, бредете по тропинке через Сокрытое болото прямиком к Светящимся камням, и вдруг что-то привлекает ваш взгляд...

Что вы сделаете? Повернете назад или достанете палочку?"
BW3_WNT_ZHL6.1,"Стелла никак не могла заснуть и отправилась в «Храбрый планетарий», чтобы посмотреть, как Неро спит на «Ярких мостах». Он сиял, и у него были крылышки... Стоп, ЧТО?! Фух, это всего лишь сон... Приходите и сами взгляните на волшебные сны Стеллы!"
BW3_WNT_ZHL6.10,"Весна пришла! Королева фей и ее маленькие помощники живы-здоровы и с полной отдачей занимаются садом Стеллы! Неро вместе со всеми в Стране покоя. Присоединитесь к ним на солнышке, испейте омолаживающего зелья и шарикарно проведите время!"
BW3_WNT_ZHL6.11,"«Это именно то место, где я хочу быть!», — говорит Стелла, пока они с Неро идут по волшебному лесу. Дух сезона ведет их к новым шариковзрывательным испытаниями и таинственным новым местам! Самое время к ним присоединиться — лето приготовило множество увлекательных приключений!"
BW3_WNT_ZHL6.12,"«Ты был прав, Неро. Этот лес просто невероятный, — сказала Стелла, разгуливая между деревьев вместе с котом. — Жаль, что мы не можем устроить тут пикник. Впереди нас ждут новые волшебные места и шариковзрывательные испытания!» Присоединитесь к их летним приключениям!"
BW3_WNT_ZHL6.13,"Дзынь! У Стеллы звенит будильник! Она не глядя его отключает и хочет поспать еще хотя бы 5 минуточек... Но постойте! Впереди еще столько зачарованных головоломок и колдовских приключений! Она вскакивает с постели, на бегу хватает Неро и волшебную палочку, прыгает на метлу и улетает на поиски шариковзрывательного веселья!"
BW3_WNT_ZHL6.14,"Вжух! Что за звук?! Неро и другие коты с любопытством выглядывают в окно... Это Стелла на волшебной метле сражается со злобной Морганой и ее приспешниками! Давайте же скорее поможем нашей ведьмочке их одолеть! В конце концов, поднявшись в небо, мы можем обнаружить НОВЫЕ ЭПИЗОДЫ и ПРИКЛЮЧЕНИЯ, предначертанные нам судьбой!"
BW3_WNT_ZHL6.2_v1,"Стелла и Неро отправляются в лес Легенд, где обретают известность самые талантливые ведьмы и колдуны! Хотите к ним присоединиться? Тогда возьмите палочку и приготовьтесь к испытанию!

А пока можете погулять среди Мудрёных деревьев. И не забудьте теплое пальто, если отправитесь в земли Ледяных железяк!"
BW3_WNT_ZHL6.2_v2,"Прогуляйтесь среди Мудрёных деревьев. И не забудьте теплое пальто, если отправитесь в земли Ледяных железяк! Уже закончили? Не волнуйтесь. У Лео есть для вас особое угощение: выиграйте «Кубок Лео» и получите награды и славу!"
BW3_WNT_ZHL6.3,"«Когда-нибудь я объеду весь мир и побываю в удивительных местах!» – однажды написала Стелла в своем дневнике. И вот, как по мановению волшебной палочки, она путешествует и любуется на Потерянные пейзажи, осматривает Хрустальный замок и бродит среди Острых форм, борясь со злом! Иногда достаточно просто произнести свое желание вслух!"
BW3_WNT_ZHL6.4,"Неро, ты закончил заворачивать подарки? У меня есть один для тебя и целая куча для всех наших друзей! У меня запланирована целая серия вечеринок и событий, и все приглашены! Самое время запастись новогодним настроением и загадать желание! Немного магии — и оно исполнится!"
BW3_WNT_ZHL6.5,"Стелла отлично провела время дома с друзьями! Они составили план на целый год и особенно сильно ждут поездку в Пурпурный рай и к Летнему закату! Составьте им компанию в этих удивительных приключениях!"
BW3_WNT_ZHL6.7,"Тук-тук! Кто там?! ...Это Неро! И нам не до игр — нужно лес спасти! Так что запрыгивайте на метлу и вперед, навстречу приключениям!"
BW3_WNT_ZHL6.8,"Что это там в небе? Это птица? Это самолет? Это Стелла на метле! Присоединитесь к ней во время нового раунда шариковзрывательных приключений!"
BW3_WNT_ZHL6.9,"Сад Стеллы полон магии! Неро готов к шариковзрывательному приключению! Позовите друзей, и давайте вместе отправимся в новое путешествие!"
BW3_WNT_ZHL7,"Только вздремнул на летнем солнышке — разбудили! Ладно, расскажу вам об обновлении...

В этот раз вас ждет новый замурчательный контент и различные общие улучшения. Не стану рассказывать, насколько это все замяучательно, а то вам сразу захочется пройти этот уровень, то есть, вы быстрее меня поймаете.

Предупреждаю, что даже если вы дойдете до 460-го уровня или соберете звездную пыль для своих пушистых подружек, я все равно не отпущу Королеву фей!

Посплю еще! Хррр-пшшш...

— Уильмур"
BW3_WNT_ZHL7.0,"Стелла тихо идет по зачарованному лесу. У нее под ногами потрескивают листья и ветки. Она ищет легендарную золотую книгу заклинаний, которая откроет ей невиданную доселе магию! «Смотри! Вон там!» — восклицает Неро! Стелла бросается к нему, на бегу выхватывая палочку. Оказавшись позади Неро на поляне, она видит яркий свет! Интересно, какой окажется новая сила?"
BW3_WNT_ZHL7.1,"Наше путешествие продолжится в Ледяных зачарованных пещерах. По легенде в них находится горшочек с золотом! Стелла уже вооружилась золотой книгой заклинаний и готовится к очередному зимнему шариковзрывтельному приключению!"
BW3_WNT_ZHL7.10,"Вам письмо! Оно от вампирши Эмбир, лучшей школьной подруги Стеллы! Она выходит замуж и хочет, чтобы вы присоединились к ней в путешествии по новому миру Bubble Witch! Летите туда и исследуйте тайны, получите награды и усмирите новые шариковзрывательные силы! Не забудьте прихватить любимого кота Неро!"
BW3_WNT_ZHL7.11,"Осень наступила. Стелла и Неро уже начали готовиться к Хэллоуину. Наденьте любимый свитер, запаситесь тыквенным пирогом и уютом, и приступите к новым шариковзрывательным уровням."
BW3_WNT_ZHL7.12,"Ночь была тихая, а небо – чистое. Неро смотрел на звезды, когда вдруг заметил что-то, напоминавшее мерцающую в сумерках Луну. Подобно падающему с дерева листу, таинственное зачарованное яйцо медленно опустилось к его лапам. «Смотри, Стелла! – воскликнул кот. – Оно живое!» Спешите войти в игру! В новейшем обновлении вас ждут новые приключения в волшебном лесу, а также загадочное существо. И, конечно же, новые уровни и чарующие акции!"
BW3_WNT_ZHL7.13,"Осень наступила! Стелла и Неро уже начали готовиться ко Дню благодарения. Наденьте любимый свитер, запаситесь тыквенным пирогом и уютом, и приступите к новым шариковзрывательным уровням, полным ярких новинок!"
BW3_WNT_ZHL7.14,"Стелла закончила заворачивать подарки для Неро! А мы приготовили подарки для вас и всех ваших шариковзрывающих друзей! Нас ждут совершенно потрясающие события – и все приглашены! Так что запаситесь новогодним настроением и загадайте желание. Немного магии – и оно исполнится!"
BW3_WNT_ZHL7.15,"Что это там в небе? Это филин? Это самолет? Это Стелла несется на метле в лунном свете! Присоединись к ней во время очередного волшебного события, где тебя ждут награды и шариковзрывательное веселье!"
BW3_WNT_ZHL7.16,"«Стелла, проснись! – шепчет Неро, – Нам письмо!» Стелла распахивает глаза, вскакивает с постели и несется к почтовому ящику. Это приглашение в очередное шариковзрывательное приключение! Узнайте, что ждет нашу ведьмочку и ее друзей в новой главе!"
BW3_WNT_ZHL7.17,"Тебя вызывают, чтобы наставлять юную ведьмочку Пенни! «Что? Кого? Где? Сейчас?!» – протараторила Стелла, обращаясь к Неро, который передал ей письмо от почтовой совы. Мы должны ей помочь. Хватай метлу, палочку, полную бустеров сумку и путевые чары. А теперь отправляйся исследовать зачарованный мир очередного обновления!"
BW3_WNT_ZHL7.18,"В волшебном лесу становится все страньше и страньше. Все зацепки указывают на Моргану. Наверняка она опять задумала какую-то шалость. Приготовьте палочки, друзья, и не забудьте про котов-фамильяров. Пришло время нового эпического приключений. О, и не забудьте взрывать шарики в процессе!"
BW3_WNT_ZHL7.19,"Палочка Стеллы полностью заряжена новыми шариковзрывательными приключениями! Хватайте волшебных котов, метлу – и вперед! Увидимся в игре!"
BW3_WNT_ZHL7.2,"Стелла много времени проводила дома с друзьями у камина и как следует отдохнула! Даже успела распланировать год! Она собирается в одиночку отправиться в путешествие по неизведанным магическим землям, а еще заглянуть в местный магазинчик магических товаров! В этом году она наверняка выполнит все свои новогодние обещания, а значит он будет просто восхитительным! Присоединитесь к ней в веселых приключениях!"
BW3_WNT_ZHL7.20,"Темношариковая магия набрала силу, и друзья Стеллы попали под действие могущественного проклятия. В Академии ведьм такому не учат! Будите Неро, хватайте палочку и проверьте прицел — на кону судьба Стеллы! В новехонькой шариковзрывательной главе вас ждут невероятные события и награды."
BW3_WNT_ZHL7.21,"Свадебные колокольчики, укромные местечки для влюбленных... Что привело Стеллу в Лес любви? Помоги ей исследовать романтические места и спасти подругу в новейшем зачарованном приключении! Ключ к освобождению Хлои – шариковзрывательные головоломки. Но можно ли доверять Вольпу, обворожительному незнакомцу с подозрительными талантами?"
BW3_WNT_ZHL7.22,"Страна ведьм на пороге разрушения! Стелле предстоит остановить распространение темных чар от Поместья в тумане и до самого Проклятого каньона. Надеемся, вы успели запастись бустерами — шарики все приближаются, образуя новые жуткие препятствия, так что Стелле понадобятся все доступные заклинания!"
BW3_WNT_ZHL7.23,"На горизонте видно слабое свечение... Неужели королева фей уже близко? Проложите путь через шарикарные уровни и мчитесь ей на помощь со Стеллой и Неро! Обладая утерянным искусством Шариковой магии, Стелла стала последней надеждой Страны ведьм, так что хватайте бустеры и цельтесь как следует!"
BW3_WNT_ZHL7.24,"В тихом Метлополисе начался Хэллоуин. В этом году будет по-настоящему страшно! Присоединяйтесь к Стелле и Неро, чтобы остановить колдуна теней в новом приключении в мире Bubble Witch! Пройдите новые уровни, где Стелле предстоит столкнуться с одержимыми тыквами, шкодливыми сорванцами... и кое-кем еще! Ждем вас в игре, если отважитесь!"
BW3_WNT_ZHL7.25,"Метлополис временно в безопасности, но у Стеллы еще много работы... Отправляйтесь вслед за темными магами из Ведьмудущего и не дайте их шарикарным ловушкам сбить вас с пути! Продолжайте получать амулеты за прохождение уровней — у вас еще есть время попасть на вершину чарта с «Могильными рокерами» во время Хэллоуинского сезона!"
BW3_WNT_ZHL7.26,"Узнав о хеллоуинских чарах, Стелла хватает метлу и вновь отправляется спасать волшебный мир! Припасите бустеры, чтобы точно справиться со всеми перипетиями сюжета на новых уровнях. Придержите свои остроконечные шляпы – вас ждут невероятные события в лигах и полные сокровищ шарикарные события в Ведьмудущем!"
BW3_WNT_ZHL7.27,"Ведьмудущее ждет своего чемпиона... Присоединяйтесь к Стелле и Неро, чтобы не дать шарикам поглотить мир! Ловушки Морганы становятся все более коварными. Но новехонькие награды лиг и временных испытаний помогут вам сорвать ее планы и уничтожить блокаторы!"
BW3_WNT_ZHL7.28,"В Ведьмудущем наступила зима — к следующему полету на метле нужно как следует подготовиться! В новом приключении в мире Bubble Witch вам со Стеллой предстоит выяснить, что происходит в мастерской Мэллота! Объединившись с сорвиголовой Вольпом Стелла с каждым уровнем приближается к разгадке тайны Сугробного острова..."
BW3_WNT_ZHL7.3,"*Зевок* Стелла просыпается. В величественном лесу солнечное утро. «Мяу!» Она выглядывает из окна и видит, что ее неуклюжий кошачий компаньон Неро застрял на дереве! Девушка в панике хватает метлу и летит на помощь! «Тебе повезло, что я могу летать!» – восклицает она. Суперведьмочка Стелла спешит на помощь!"
BW3_WNT_ZHL7.4,"Домик Стеллы отремонтирован, а сад полон благоухающих цветов! Неро готов к новому раунду шариковзрывательного веселья! Пригласите друзей и родных поучаствовать в волшебном приключении!"
BW3_WNT_ZHL7.5,"Дин-дон! В дверь звонят! Прямиком из лаборатории в очаровательной коробочке привезли новые зелья Стеллы! Теперь она может наколдовать много всякого, чтобы лопать шарики стало еще веселее! Лишь бы лабораторные жабы не добрались до зелий раньше ведьмы – не то быть беде! Приключения ждут!"
BW3_WNT_ZHL7.6,"Пришло время еще одного грандиозного обновления! После долгого перерыва Неро готов к новому шариковзрывательному приключению! Самое время познакомиться с волшебным садом Стеллы, полным завораживающих цветов! Позовите друзей, и давайте вместе отправимся в новое очаровательное приключение!"
BW3_WNT_ZHL7.7,"Стелла и Неро отправились навстречу новому приключению, в котором смогут преуспеть только самые талантливые ведьмы и колдуны! Как думаете, справитесь? Зарядите палочку и прихватите кота – пришло время эпического зачарованного испытания!"
